date,gcode,lvcnt,nsum,nsum10,bomb,bomblag,bombsum10,klaB,klaBlag,klaBsum10,klaK,klaKlag,klaKsum10
3/20/1999,north,476,7.199451,0,0,0,0,0,0,0,1,0,0
3/22/1999,north,934,9.424736,7.199451,0,0,0,0,0,0,1,1,1
3/24/1999,north,1508,181.0425,16.624187,0,0,0,4,0,0,2,1,2
3/26/1999,north,1929,362.4704,197.666687,0,0,0,1,4,4,7,2,4
3/28/1999,north,3254,345.1751,560.137087,1,0,0,1,1,5,1,7,11
3/30/1999,north,2406,150.8545,905.312187,1,1,1,1,1,6,3,1,12
4/1/1999,north,2749,496.0882,1056.166687,1,1,2,1,1,7,6,3,15
4/3/1999,north,1906,440.5561,1552.254887,0,1,3,0,1,8,0,6,21
4/5/1999,north,1780,260.0224,1992.810987,0,0,3,0,0,8,0,0,21
4/7/1999,north,1613,85.73475,2252.833387,0,0,3,0,0,8,0,0,21
4/9/1999,north,1954,116.9815,2338.568137,0,0,3,0,0,8,3,0,21
4/11/1999,north,1909,50.28372,2455.549637,2,0,3,0,0,8,0,3,24
4/13/1999,north,3684,65.56094,2498.633906,0,2,5,0,0,8,1,0,23
4/15/1999,north,7958,198.1455,2554.77011,2,0,5,0,0,8,3,1,23
4/17/1999,north,7042,378.2935,2571.87311,0,2,7,1,0,4,3,3,24
4/19/1999,north,2790,28.71605,2587.69621,0,0,7,0,1,4,3,3,20
4/21/1999,north,1240,23.47961,2271.23716,1,0,6,0,0,3,3,3,22
4/23/1999,north,216,16.80434,2143.86227,0,1,6,0,0,2,0,3,22
4/25/1999,north,215,13.08314,1664.57841,1,0,5,0,0,1,0,0,16
4/27/1999,north,278,42.76845,1237.10545,4,1,6,0,0,1,2,0,16
4/29/1999,north,818,5.215072,1019.8515,3,4,10,0,0,1,1,2,18
5/1/1999,north,618,151.9749,939.331822,1,3,13,2,0,1,3,1,19
5/3/1999,north,1584,154.3451,974.325222,3,1,14,0,2,3,4,3,19
5/5/1999,north,241,10.36317,1078.386602,0,3,15,0,0,3,0,4,23
5/7/1999,north,578,49.79446,1023.188832,1,0,15,0,0,3,0,0,22
5/9/1999,north,1669,12.5515,874.837792,5,1,14,0,0,3,0,0,19
5/11/1999,north,117,4.321007,509.095792,7,5,19,0,0,2,4,0,16
5/13/1999,north,26,16.22669,484.700749,2,7,26,0,0,2,0,4,17
5/15/1999,north,18,33.7016,477.447829,1,2,27,0,0,2,6,0,14
5/17/1999,north,45,151.4075,494.345089,1,1,28,0,0,2,1,6,20
5/19/1999,north,49,2.328496,632.669449,1,1,28,0,0,2,0,1,21
5/21/1999,north,677,5.025851,592.229495,4,1,25,0,0,2,0,0,19
5/23/1999,north,720,5.645652,592.040274,1,4,26,0,0,2,2,0,18
5/25/1999,north,182,20.58633,445.711026,3,1,26,1,0,0,1,2,17
5/27/1999,north,219,0.2352724,311.952256,3,3,26,0,1,1,5,1,14
5/29/1999,north,0,0.1764543,301.8243584,7,3,29,0,0,1,1,5,19
5/31/1999,north,0,2,252.2063527,5,7,35,1,0,1,4,1,20
6/2/1999,north,0,0,241.6548527,0,5,35,0,1,2,1,4,24
6/4/1999,north,0,0,237.3338457,3,0,28,0,0,2,0,1,21
6/6/1999,north,0,0,221.1071557,4,3,29,0,0,2,0,0,21
6/8/1999,north,0,5,187.4055557,2,4,32,0,0,2,1,0,15
6/10/1999,north,0,0,40.9980557,0,2,33,0,0,2,1,1,15
6/12/1999,north,0,0,38.6695597,0,0,32,0,0,2,0,1,16
6/14/1999,north,0,20.0597,33.6437087,0,0,28,0,0,2,0,0,16
6/16/1999,north,0,1.273631,48.0577567,0,0,27,0,0,2,1,0,14
6/18/1999,north,0,0,28.7450577,0,0,24,0,0,1,3,1,14
6/20/1999,north,0,0,28.5097853,0,0,21,0,0,1,6,3,12
6/22/1999,north,0,0,28.333331,0,0,14,0,0,1,3,6,17
3/20/1999,south,1566,4.240977,0,0,0,0,0,0,0,1,0,0
3/22/1999,south,2837,5.551825,4.240977,0,0,0,0,0,0,0,1,1
3/24/1999,south,5114,106.6466,9.792802,0,0,0,1,0,0,3,0,1
3/26/1999,south,9382,260.1305,116.439402,0,0,0,1,1,1,2,3,4
3/28/1999,south,24103,247.7184,376.569902,3,0,0,0,1,2,1,2,6
3/30/1999,south,16411,108.2622,624.288302,0,3,3,3,0,2,0,1,7
4/1/1999,south,21974,223.4469,732.550502,0,0,3,1,3,5,0,0,7
4/3/1999,south,12853,198.4343,955.997402,0,0,3,0,1,6,2,0,7
4/5/1999,south,14171,117.1187,1154.431702,1,0,3,0,0,6,0,2,9
4/7/1999,south,1526,4.292386,1271.550402,2,1,4,1,0,6,1,0,9
4/9/1999,south,1182,5.856782,1275.842788,0,2,6,0,1,7,1,1,10
4/11/1999,south,808,2.517498,1281.69957,2,0,6,0,0,7,4,1,11
4/13/1999,south,944,3.710354,1279.976091,0,2,8,0,0,7,1,4,14
4/15/1999,south,1480,11.21384,1278.13462,0,0,8,0,0,7,0,1,15
4/17/1999,south,1733,21.40914,1182.70186,0,0,8,0,0,6,3,0,12
4/19/1999,south,1409,3.55044,943.9805,0,0,8,1,0,5,1,3,13
4/21/1999,south,594,2.903008,699.81254,0,0,5,0,1,6,0,1,13
4/23/1999,south,300,2.077681,594.453348,0,0,5,0,0,3,0,0,13
4/25/1999,south,573,0.4284872,373.084129,1,0,5,0,0,2,0,0,13
4/27/1999,south,880,1.400714,175.0783162,2,1,6,0,0,2,1,0,11
4/29/1999,south,5490,0.1707993,59.3603302,0,2,7,0,0,2,0,1,12
5/1/1999,south,3229,3.839164,55.2387435,0,0,5,0,0,1,1,0,11
5/3/1999,south,1118,3.899042,53.2211255,1,0,5,0,0,1,0,1,11
5/5/1999,south,267,0.2617928,54.6026695,1,1,4,0,0,1,0,0,7
5/7/1999,south,435,11.9507,51.1541083,0,1,5,0,0,1,0,0,6
5/9/1999,south,459,3.012367,51.8909683,1,0,5,0,0,1,2,0,6
5/11/1999,south,1204,1.037044,33.4941953,1,1,6,0,0,1,1,2,5
5/13/1999,south,17,0.2417855,30.9807993,2,1,7,0,0,0,0,1,5
5/15/1999,south,18,0.5021698,28.3195768,3,2,9,0,0,0,5,0,5
5/17/1999,south,81,2.256045,26.7440656,2,3,12,0,0,0,3,5,10
5/19/1999,south,42,0,28.5716234,1,2,13,0,0,0,0,3,13
5/21/1999,south,1401,0,27.1709094,2,1,12,0,0,0,0,0,12
5/23/1999,south,184,0,27.0001101,3,2,14,0,0,0,3,0,12
5/25/1999,south,235,238.1782,23.1609461,5,3,17,0,0,0,2,3,14
5/27/1999,south,282,2.722037,257.4401041,1,5,21,20,0,0,2,2,16
5/29/1999,south,0,2.041528,259.9003483,3,1,21,0,20,20,37,2,18
5/31/1999,south,0,0,249.9911763,2,3,24,1,0,20,0,37,55
6/2/1999,south,0,0,246.9788093,2,2,25,0,1,21,1,0,53
6/4/1999,south,0,0,245.9417653,3,2,26,0,0,21,0,1,53
6/6/1999,south,0,0,245.6999798,5,3,27,0,0,21,0,0,53
6/8/1999,south,0,5,245.19781,2,5,29,0,0,21,0,0,48
6/10/1999,south,0,0,247.941765,0,2,29,0,0,21,3,0,45
6/12/1999,south,0,0,247.941765,0,0,28,0,0,21,5,3,48
6/14/1999,south,0,0,247.941765,0,0,26,0,0,21,0,5,53
6/16/1999,south,0,0,247.941765,0,0,23,0,0,21,0,0,50
6/18/1999,south,0,0,9.763565,0,0,18,0,0,21,0,0,48
6/20/1999,south,0,0,7.041528,0,0,17,0,0,1,5,0,46
6/22/1999,south,0,0,5,0,0,14,0,0,1,1,5,14
3/20/1999,east,509,7.606873,0,0,0,0,1,0,0,8,0,0
3/22/1999,east,684,9.958088,7.606873,0,0,0,0,1,1,1,8,8
3/24/1999,east,1314,191.2878,17.564961,1,0,0,1,0,1,0,1,9
3/26/1999,east,1843,139.612,208.852761,0,1,1,1,1,2,1,0,9
3/28/1999,east,4013,132.9504,348.464761,2,0,1,0.5,1,3,1,1,10
3/30/1999,east,2855,58.10432,481.415161,6,2,3,0,0.5,3.5,1,1,11
4/1/1999,east,3188,123.9931,539.519481,1,6,9,2,0,3.5,0,1,12
